Name,Symbol
BANKNIFTY,BANKNIFTY
FINNIFTY,FINNIFTY
NIFTY,NIFTY
Aarti Industries Limited,AARTIIND
Acc Limited,ACC
Adani Enterprises Limited,ADANIENT
Adani Ports And Special Economic Zone Limited,ADANIPORTS
Alembic Pharmaceuticals Limited,APLLTD
Alkem Laboratories Limited,ALKEM
Amara Raja Batteries Limited,AMARAJABAT
Ambuja Cements Limited,AMBUJACEM
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Tyres Limited,APOLLOTYRE
Ashok Leyland Limited,ASHOKLEY
Asian Paints Limited,ASIANPAINT
AU Small Finance Bank,AUBANK
Aurobindo Pharma Limited,AUROPHARMA
Axis Bank Limited,AXISBANK
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Balkrishna Industries Limited,BALKRISIND
Bandhan Bank Ltd,BANDHANBNK
Bank Of Baroda,BANKBARODA
BANKNIFTY,BANKNIFTY
Bata India Limited,BATAINDIA
Berger Paints (i) Limited,BERGEPAINT
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharti Airtel Limited,BHARTIARTL
Biocon Limited,BIOCON
Bosch Limited,BOSCHLTD
Britannia Industries Limited,BRITANNIA
Cadila Healthcare Limited,CADILAHC
Canara Bank,CANBK
Cholamandalam Investment And Finance Company Limited,CHOLAFIN
Cipla Limited,CIPLA
City Union Bank Limited,CUB
Coal India Limited,COALINDIA
Coforge (Niit Tech),COFORGE
Colgate Palmolive (india) Limited,COLPAL
Container Corporation Of India Limited,CONCOR
Cummins India Limited,CUMMINSIND
Dabur India Limited,DABUR
Deepak Nitrite Limited,DEEPAKNTR
Divi's Laboratories Limited,DIVISLAB
Dlf Limited,DLF
Dr. Lal Path Labs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Limited,DRREDDY
Eicher Motors Limited,EICHERMOT
Escorts Limited,ESCORTS
Exide Industries Limited,EXIDEIND
Gail (india) Limited,GAIL
Glenmark Pharmaceuticals Limited,GLENMARK
Gmr Infrastructure Limited,GMRINFRA
Godrej Consumer Products Limited,GODREJCP
Godrej Properties Limited,GODREJPROP
Granules India Limited,GRANULES
Grasim Industries Limited,GRASIM
Gujarat Gas Limited,GUJGASLTD
Havells India Limited,HAVELLS
Hcl Technologies Limited,HCLTECH
HDFC Asset Management Company Ltd,HDFCAMC
Hdfc Bank Limited,HDFCBANK
HDFC Life Insurance Company Ltd,HDFCLIFE
Hero Motocorp Limited,HEROMOTOCO
Hindalco Industries Limited,HINDALCO
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Housing Development Finance Corporation Limited,HDFC
Icici Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Ltd,ICICIGI
Icici Prudential Life Insurance Company Limited,ICICIPRULI
Idea Cellular Limited,IDEA
IDFC First Bank Ltd,IDFCFIRSTB
Indiabulls Housing Finance Limited,IBULHSGFIN
Indian Oil Corporation Limited,IOC
Indian Railway Catering & Tourism Corporation Ltd,IRCTC
Indraprastha Gas Limited,IGL
Indus Towers Ltd (Bharti Infratel),INDUSTOWER
Indusind Bank Limited,INDUSINDBK
Info Edge (india) Limited,NAUKRI
Infosys Limited,INFY
Interglobe Aviation Limited,INDIGO
Itc Limited,ITC
Jindal Steel & Power Limited,JINDALSTEL
Jsw Steel Limited,JSWSTEEL
Jubilant Foodworks Limited,JUBLFOOD
Kotak Mahindra Bank Limited,KOTAKBANK
L&t Finance Holdings Limited,L&TFH
L&t Technology Services Limited,LTTS
Larsen & Toubro Infotech Limited,LTI
Larsen & Toubro Limited,LT
Lic Housing Finance Limited,LICHSGFIN
Lupin Limited,LUPIN
Mahanagar Gas Limited,MGL
Mahindra & Mahindra Financial Services Limited,M&MFIN
Mahindra & Mahindra Limited,M&M
Manappuram Finance Limited,MANAPPURAM
Marico Limited,MARICO
Maruti Suzuki India Limited,MARUTI
Max Financial Services Limited,MFSL
Mindtree Limited,MINDTREE
Motherson Sumi Systems Limited,MOTHERSUMI
Mphasis Limited,MPHASIS
Mrf Limited,MRF
Muthoot Finance Limited,MUTHOOTFIN
National Aluminium Company Limited,NATIONALUM
Navin Fluorine International Limited,NAVINFLUOR
Nestle India Limited,NESTLEIND
Nippon Life India Asset Management Ltd,NAM-INDIA
Nmdc Limited,NMDC
Ntpc Limited,NTPC
Oil & Natural Gas Corporation Limited,ONGC
Page Industries Limited,PAGEIND
Petronet Lng Limited,PETRONET
Pfizer Limited,PFIZER
Pi Industries Limited,PIIND
Pidilite Industries Limited,PIDILITIND
Piramal Enterprises Limited,PEL
Power Finance Corporation Limited,PFC
Power Grid Corporation Of India Limited,POWERGRID
Punjab National Bank,PNB
Pvr Limited,PVR
Rbl Bank Limited,RBLBANK
Reliance Industries Limited,RELIANCE
Rural Electrification Corporation Limited,RECLTD
SBI Life Insurance Company Ltd,SBILIFE
Shree Cements Limited,SHREECEM
Shriram Transport Finance Company Limited,SRTRANSFIN
Siemens Limited,SIEMENS
Srf Limited,SRF
State Bank Of India,SBIN
Steel Authority Of India Limited,SAIL
Sun Pharmaceuticals Industries Limited,SUNPHARMA
Sun Tv Network Limited,SUNTV
Tata Chemicals Limited,TATACHEM
Tata Consultancy Services Limited,TCS
TATA Consumer Products Ltd,TATACONSUM
Tata Motors Limited,TATAMOTORS
Tata Power Company Limited,TATAPOWER
Tata Steel Limited,TATASTEEL
Tech Mahindra Limited,TECHM
The Federal Bank Limited,FEDERALBNK
The Ramco Cements Limited,RAMCOCEM
Titan Company Limited,TITAN
Torrent Pharmaceuticals Limited,TORNTPHARM
Torrent Power Limited,TORNTPOWER
Trent Limited,TRENT
Tvs Motor Company Limited,TVSMOTOR
Ultratech Cement Limited,ULTRACEMCO
United Breweries Limited,UBL
United Spirits Limited,MCDOWELL-N
